accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.33761496,0.01499721,0.15584921,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(10, 10)"
0.31705569,0.00891661,0.14239924,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(10, 10)"
0.32842554,0.00507512,0.14527163,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(20, 20)"
0.31788621,0.01003841,0.14502544,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(10, 5, 5)"
0.31815109,0.00943797,0.14373006,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(5, 5, 5)"
0.37006156,0.01672787,0.18555438,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(5, 5, 5)"
0.32916866,0.01138252,0.14821654,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(20, 20)"
0.32601419,0.00979502,0.14857664,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(10, 10)"
0.31519038,0.00978851,0.13917847,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer_2 at 0x000002BC63649280>,"(10, 5, 5)"
0.31282808,0.01046058,0.14124048,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(5, 5, 5)"
0.31678622,0.01476318,0.14308577,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(10, 10)"
0.32982352,0.00843708,0.14913568,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(20, 20)"
0.29201696,0.01120208,0.12850521,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(10, 5, 5)"
0.31855632,0.01497808,0.14644111,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(5, 5, 5)"
0.31014936,0.01382424,0.13628319,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002BC636491F0>,"(20, 20)"
