accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.42984881,0.00754953,0.23858134,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.31409416,0.01481041,0.13839816,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.33077574,0.01020675,0.14892132,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.33988339,0.00540535,0.15551354,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.3426577,0.0111998,0.15659623,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.42984785,0.00754937,0.23853977,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.3139385,0.01423378,0.14026061,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.42984754,0.00754899,0.23862191,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.31267661,0.01188175,0.13755512,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.32549949,0.00704531,0.14832734,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.32195747,0.00685968,0.14344779,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
0.42984884,0.00755044,0.23907162,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.31226766,0.01400428,0.14324085,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.31038493,0.00473504,0.13373975,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(25, 25)"
0.31889099,0.01145077,0.13904164,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
0.42984853,0.00754898,0.23923467,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.31077547,0.01454372,0.13579601,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(25, 25)"
0.33362685,0.00969902,0.15296998,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.32882197,0.00769492,0.14642937,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.42984853,0.00754906,0.23907958,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.31300125,0.0096704,0.13577655,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.3061312,0.01108713,0.13795891,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.30968081,0.01190496,0.1364094,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.42984853,0.00754897,0.23895614,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.31243561,0.01378778,0.13899449,0.08,0,0.8,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.33038815,0.00494323,0.1481057,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.32032186,0.00998389,0.1418675,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
0.30170506,0.00987922,0.12841338,0.08,0,0.8,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(25, 25)"
0.30585277,0.02043305,0.13962336,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.42984854,0.00754905,0.23919855,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.30132154,0.01551272,0.1326212,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
0.30718248,0.011675,0.13339098,0.08,0,0.8,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(25, 25)"
0.42984852,0.00754896,0.23861424,0.08,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.32008384,0.0086773,0.14470554,0.08,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.31649729,0.0017908,0.13670345,0.08,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.42984852,0.00754896,0.23910833,0.08,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(30,)"
0.31625801,0.00583923,0.13719376,0.08,0,1.2,<class 'activation_function.TanH'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.31267333,0.01191678,0.14269545,0.08,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(10, 10)"
0.31105301,0.01278823,0.13598085,0.08,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(20, 20)"
0.31332004,0.01312615,0.13712313,0.08,0,1.2,<class 'activation_function.Relu'>,<function xavier_initializer at 0x000002269ED18040>,"(25, 25)"
0.42984852,0.00754896,0.23936661,0.08,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.31379034,0.00410724,0.13822172,0.08,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.29921254,0.00480899,0.12655087,0.08,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
0.42984852,0.00754896,0.23883671,0.08,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(30,)"
0.30485221,0.01241655,0.13274246,0.08,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(10, 10)"
0.29088472,0.01240198,0.12085782,0.08,0,1.2,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(25, 25)"
0.30838623,0.01384082,0.13081569,0.08,0,1.2,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x000002269ED18280>,"(20, 20)"
