accuracy_average_vl,accuracy_sd_vl,average_tr_error_best_vl,learning_rate,regularization,momentum,activation_hidden,weight_init,topology
0.42984855,0.00754872,0.23921463,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000189291B2F70>,"(30,)"
0.32187637,0.01538419,0.14679268,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000189291B2F70>,"(10, 10)"
0.34407926,0.00674131,0.16125169,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000189291B2F70>,"(10, 10)"
0.3446629,0.00756546,0.15619324,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000189291B2F70>,"(20, 20)"
0.33326838,0.00813948,0.15177694,0.08,0,0.4,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000189291B2F70>,"(25, 25)"
0.42984883,0.0075496,0.23896904,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000189291B2F70>,"(30,)"
0.32222408,0.01614592,0.14479434,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000189291B2F70>,"(20, 20)"
0.42984796,0.0075489,0.23943736,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(30,)"
0.32093234,0.01467568,0.14125799,0.08,0,0.4,<class 'activation_function.Relu'>,<function xavier_initializer at 0x00000189291B2F70>,"(25, 25)"
0.32421462,0.00990219,0.14755196,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(10, 10)"
0.31435199,0.00979425,0.13949768,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(20, 20)"
0.42984805,0.00755021,0.23865999,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(30,)"
0.30295019,0.01432898,0.13731814,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(10, 10)"
0.3030117,0.00504499,0.1304647,0.08,0,0.4,<class 'activation_function.TanH'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(25, 25)"
0.31400083,0.0192265,0.13636184,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(20, 20)"
0.42984848,0.00754892,0.23910718,0.08,0,0.8,<class 'activation_function.TanH'>,<function xavier_initializer at 0x00000189291B2F70>,"(30,)"
0.32290779,0.01313443,0.13729566,0.08,0,0.4,<class 'activation_function.Relu'>,<function ranged_uniform_initializer at 0x00000189291B81F0>,"(25, 25)"
